# Lista de fotos esperadas para Pedidos Famat
# Colocá cada foto en images/productos/ con el nombre indicado (jpg recomendado).
# También se aceptan .webp o .png si renombrás o ajustás luego.
# Total: 342 productos

pala-c-cabo-negra.jpg  |  producto  |  LINEA PALAS BASURA  |  Pala c/cabo NEGRA
pala-mano-c-goma.jpg  |  producto  |  LINEA PALAS BASURA  |  Pala mano c/goma
pala-de-mano-sin-goma.jpg  |  producto  |  LINEA PALAS BASURA  |  Pala de mano sin goma
palangana-4lts.jpg  |  producto  |  LINEA PALANGANAS  |  Palangana 4lts
palangana-6lts.jpg  |  producto  |  LINEA PALANGANAS  |  Palangana 6lts
palangana-9lts.jpg  |  producto  |  LINEA PALANGANAS  |  palangana 9LTS
papel-alumino-28cm.jpg  |  producto  |  LINEA PAPELES  |  Papel Alumino 28cm
papel-film-30mts.jpg  |  producto  |  LINEA PAPELES  |  Papel film 30mts
papel-cocina-maxi-rollo.jpg  |  producto  |  LINEA PAPELES  |  Papel cocina maxi rollo
papel-de-cocina-x3-elegante.jpg  |  producto  |  LINEA PAPELES  |  Papel de cocina x3 Elegante
papel-higienico-x4-elegante.jpg  |  producto  |  LINEA PAPELES  |  Papel higienico x4 elegante
papel-higienico-x4-hiar.jpg  |  producto  |  LINEA PAPELES  |  Papel higienico x4 hiar
papel-higienico-x6-niraflor.jpg  |  producto  |  LINEA PAPELES  |  papel higienico x6 Niraflor
papel-higienico-x6-elegante.jpg  |  producto  |  LINEA PAPELES  |  Papel higienico x6 elegante
papel-higienco-suelto-cordial.jpg  |  producto  |  LINEA PAPELES  |  Papel higienco suelto cordial
papel-higienico-dispenser-8-x300.jpg  |  producto  |  LINEA PAPELES DISPENSER  |  Papel higienico dispenser 8 x300
papel-higienico-dispenser-8-x-300-c-u.jpg  |  producto  |  LINEA PAPELES DISPENSER  |  Papel higienico dispenser 8 x 300 c/u
bobina-industrial-25x400-x2.jpg  |  producto  |  LINEA PAPELES DISPENSER  |  Bobina Industrial 25x400 x2
bobina-industral-25x400-c-u.jpg  |  producto  |  LINEA PAPELES DISPENSER  |  Bobina industral 25x400 C/U
toallas-intercaladas-c-u.jpg  |  producto  |  LINEA PAPELES DISPENSER  |  Toallas intercaladas C/U
tollas-intercaladas-20x24-x-10.jpg  |  producto  |  LINEA PAPELES DISPENSER  |  Tollas intercaladas 20X24 x 10
pasa-cera-grande.jpg  |  producto  |  LINEA PASA CERA  |  Pasa cera Grande
pastillas-p-inodoro-pato-canasta.jpg  |  producto  |  LINEA PASTILLA INODORO  |  Pastillas p/inodoro Pato (canasta)
pastillas-p-inodoro-pato-purific-glade-adhesivo.jpg  |  producto  |  LINEA PASTILLA INODORO  |  Pastillas P/inodoro Pato Purific/glade adhesivo
pilas-energizer-aa.jpg  |  producto  |  LINEA PILAS  |  Pilas energizer AA
pilas-energizer-aaa.jpg  |  producto  |  LINEA PILAS  |  Pilas energizer AAA
kit-para-analisis-ph-cloro.jpg  |  producto  |  LINEA PILETA  |  Kit para analisis PH cloro
